text,font_size,is_bold,is_italic,page,cap_ratio,line_length,word_count,x_pos_norm,y_pos_norm,relative_font_size,indentation,starts_with_number,ends_with_colon,all_caps,vertical_spacing_above,vertical_spacing_below,label
Whether wife / husband is employed and if,9.744400024414062,0,0,1,0.024390243902439025,41,8,0.16134212718290442,0.30080457311344827,1.0,95.99856567382812,0,0,0,0.428802490234375,0.009735107421875,Body
7.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.31477308839630347,1.0,70.0199966430664,1,0,0,0.009735107421875,-5.934295654296875,Body
so whether entitled to LTC,9.744400024414062,0,0,1,0.11538461538461539,26,5,0.16134212718290442,0.32168216660017074,1.0,95.99856567382812,0,0,0,-5.934295654296875,6.372833251953125,Body
Whether the concession is to be availed for,9.744400024414062,0,0,1,0.023255813953488372,43,8,0.16134212718290442,0.34320778744804037,1.0,95.99856567382812,0,0,0,6.372833251953125,5.827178955078125,Body
visiting home town and if so block for which,9.744400024414062,0,0,1,0.0,44,9,0.16134212718290442,0.36408536281268555,1.0,95.99856567382812,0,0,0,5.827178955078125,-8.750457763671875,Body
8.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.3676498304353474,1.0,70.0199966430664,1,0,0,-8.750457763671875,2.884307861328125,Body
LTC is to be availed.,9.744400024414062,0,0,1,0.14285714285714285,21,5,0.16134212718290442,0.3850323094891256,1.0,95.99856567382812,0,0,0,2.884307861328125,6.30462646484375,Body
(a) If the concession is to visit anywhere in,9.744400024414062,0,0,1,0.022222222222222223,45,9,0.16134212718290442,0.40647696089574675,1.0,95.99856567382812,0,0,0,6.30462646484375,5.885589599609375,Body
"India, the place to be visited.",9.744400024414062,0,0,1,0.03225806451612903,31,6,0.16134212718290442,0.42742390757218673,1.0,95.99856567382812,0,0,0,5.885589599609375,-8.8089599609375,Body
9.,9.744400024414062,1,0,1,0.0,2,1,0.11768066662700237,0.43091893139474463,1.0,70.0199966430664,1,0,0,-8.8089599609375,2.88433837890625,Body
(b) Block for which to be availed.,9.744400024414062,0,0,1,0.029411764705882353,34,7,0.16134212718290442,0.448301482936832,1.0,95.99856567382812,0,0,0,2.88433837890625,6.372833251953125,Body
Single,9.744400024414062,0,0,1,0.16666666666666666,6,1,0.16134212718290442,0.4698271037847016,1.0,95.99856567382812,0,0,0,6.372833251953125,-11.751739501953125,Body
rail,9.744400024414062,0,0,1,0.0,4,1,0.2288044905462185,0.4698271037847016,1.0,136.138671875,0,0,0,-11.751739501953125,-11.751739501953125,Body
fare/bus,9.744400024414062,0,0,1,0.0,8,1,0.27495858328683037,0.4698271037847016,1.0,163.60035705566406,0,0,0,-11.751739501953125,-11.751739501953125,Body
fare,9.744400024414062,0,0,1,0.0,4,1,0.3591715067374606,0.4698271037847016,1.0,213.70704650878906,0,0,0,-11.751739501953125,-11.751739501953125,Body
from,9.744400024414062,0,0,1,0.0,4,1,0.4114964845801602,0.4698271037847016,1.0,244.8404083251953,0,0,0,-11.751739501953125,-11.751739501953125,Body
the,9.744400024414062,0,0,1,0.0,3,1,0.4693061379825368,0.4698271037847016,1.0,279.2371520996094,0,0,0,-11.751739501953125,5.827117919921875,Body
headquarters to home town/place of visit by,9.744400024414062,0,0,1,0.0,43,7,0.16134212718290442,0.4907046066610377,1.0,95.99856567382812,0,0,0,5.827117919921875,-8.75048828125,Body
10.,9.744400024414062,1,0,1,0.0,3,1,0.11768066662700237,0.49426907428369954,1.0,70.0199966430664,1,0,0,-8.75048828125,2.82586669921875,Body
shortest route.,9.744400024414062,0,0,1,0.0,15,2,0.16134212718290442,0.511582182025683,1.0,95.99856567382812,0,0,0,2.82586669921875,6.431304931640625,Body
Persons in respect of whom LTC is proposed to be availed.,9.744400024414062,0,0,1,0.07017543859649122,57,11,0.16134212718290442,0.5331772466736565,1.0,95.99856567382812,0,0,0,6.431304931640625,3.371551513671875,Body
S.No,9.744400024414062,1,0,1,0.5,4,1,0.16134212718290442,0.5511383998988643,1.0,95.99856567382812,0,0,0,3.371551513671875,-11.75177001953125,Body
Name,9.744400024414062,1,0,1,0.25,4,1,0.35531462340795694,0.5511383998988643,1.0,211.41220092773438,0,0,0,-11.75177001953125,-11.75177001953125,Body
Age,9.744400024414062,1,0,1,0.3333333333333333,3,1,0.577272405544249,0.5511383998988643,1.0,343.4770812988281,0,0,0,-11.75177001953125,-11.75177001953125,Body
Relationship,9.744400024414062,1,0,1,0.08333333333333333,12,1,0.7472016150210085,0.5511383998988643,1.0,444.5849609375,0,0,0,-11.75177001953125,0.42877197265625,Body
1.,9.744400024414062,1,0,1,0.0,2,1,0.17416535706079306,0.5656046017898233,1.0,103.62838745117188,1,0,0,0.42877197265625,0.487213134765625,Body
2.,9.744400024414062,1,0,1,0.0,2,1,0.17416535706079306,0.5801401749925772,1.0,103.62838745117188,1,0,0,0.487213134765625,-1.617584228515625,Body
11.,9.744400024414062,1,0,1,0.0,3,1,0.11768066662700237,0.5921759888565172,1.0,70.0199966430664,1,0,0,-1.617584228515625,-9.705413818359375,Body
3.,9.744400024414062,1,0,1,0.0,2,1,0.17416535706079306,0.5946063043952271,1.0,103.62838745117188,1,0,0,-9.705413818359375,0.545654296875,Body
4.,9.744400024414062,1,0,1,0.0,2,1,0.17416535706079306,0.6092113213980849,1.0,103.62838745117188,1,0,0,0.545654296875,4.74560546875,Body
5.,9.744400024414062,1,0,1,0.0,2,1,0.17416535706079306,0.6288043314374258,1.0,103.62838745117188,1,0,0,4.74560546875,0.48724365234375,Body
6.,9.744400024414062,1,0,1,0.0,2,1,0.17416535706079306,0.6433399046401796,1.0,103.62838745117188,1,0,0,0.48724365234375,7.6883544921875,Body
Amount of advance required.,9.744400024414062,0,0,1,0.037037037037037035,27,4,0.1613584245954241,0.6664278660137694,1.0,96.00826263427734,0,0,0,7.6883544921875,-11.751708984375,Body
Rs.,9.744400024414062,0,0,1,0.3333333333333333,3,1,0.5115836520154937,0.6664278660137694,1.0,304.39227294921875,0,0,0,-11.751708984375,-5.87579345703125,Body
12.,9.744400024414062,1,0,1,0.0,3,1,0.11769696403952205,0.6734063880177406,1.0,70.02969360351562,1,0,0,-5.87579345703125,18.07586669921875,Body
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.744400024414062,0,0,1,0.020202020202020204,99,18,0.17658919646960347,0.7088310622262841,1.0,105.07057189941406,0,0,0,18.07586669921875,-0.0487060546875,Body
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.744400024414062,0,0,1,0.0,99,17,0.11769691274947479,0.7227301155869581,1.0,70.0296630859375,0,0,0,-0.0487060546875,11.77130126953125,Body
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.744400024414062,0,0,1,0.01834862385321101,109,22,0.17660550670463498,0.7506671823968231,1.0,105.08027648925781,0,0,0,11.77130126953125,0.009765625,Body
"advance, I undertake to refund the entire advance in one lump sum.",9.744400024414062,0,0,1,0.015151515151515152,66,12,0.11771332556460085,0.7646356795576009,1.0,70.0394287109375,0,0,0,0.009765625,23.40606689453125,Body
Date,9.744400024414062,1,0,1,0.25,4,1,0.11771332556460085,0.8063907577985823,1.0,70.0394287109375,0,0,0,23.40606689453125,0.00982666015625,Body
Signature of Government Servant.,9.744400024414062,1,0,1,0.09375,32,4,0.6773858078387605,0.8203593274476693,1.0,403.0445556640625,0,0,0,0.00982666015625,0.0,Body
Overview,24.0,1,0,1,0.125,8,1,0.4128267874125562,0.23941922428632023,1.6,252.64999389648438,0,0,0,0.0,28.464004516601562,Body
Foundation Level Extensions,24.0,1,0,1,0.1111111111111111,27,3,0.22768953111436632,0.3091464957805595,1.6,139.3459930419922,0,0,0,28.464004516601562,110.82598876953125,Body
Version 1.0,12.0,0,0,1,0.09090909090909091,11,2,0.4504738601983762,0.48286619090070626,0.8,275.69000244140625,0,0,0,110.82598876953125,69.88998413085938,Body
International Software Testing Qualifications Board,18.0,0,0,1,0.09803921568627451,51,5,0.16885620316648794,0.5880050273856732,1.2,103.33999633789062,0,0,0,69.88998413085938,166.51620483398438,Body
Copyright Notice,9.960000038146973,0,0,1,0.125,16,2,0.11592156902637357,0.8235936791005761,0.6640000025431315,70.94400024414062,0,0,0,166.51620483398438,0.4183349609375,Body
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",9.960000038146973,0,0,1,0.010752688172043012,93,16,0.11592156902637357,0.8381438592467645,0.6640000025431315,70.94400024414062,0,0,0,0.4183349609375,0.0,Body
International,9.960000038146973,0,0,2,0.07692307692307693,13,1,0.7318790909511591,0.04877047105268999,1.0,447.9100036621094,0,0,0,0.0,-8.151611328125,Body
Overview,12.0,0,0,2,0.125,8,1,0.1216078490213631,0.05250000231193774,1.204819272493955,74.42400360107422,0,0,0,-8.151611328125,-4.813831329345703,Body
Software Testing,9.960000038146973,0,0,2,0.125,16,2,0.7156045951095282,0.0633158731942225,1.0,437.95001220703125,0,0,0,-4.813831329345703,-4.299449920654297,Body
Foundation Level Extension –,9.960000038146973,0,0,2,0.10714285714285714,28,4,0.1216078490213631,0.07377045563977173,1.0,74.42400360107422,0,0,0,-11.81256103515625,-11.105400085449219,Body
Agile Tester,9.960000038146973,0,0,2,0.16666666666666666,12,2,0.3416503208135468,0.07377045563977173,1.0,209.08999633789062,0,0,0,-11.105400085449219,-7.865409851074219,Body
Qualifications,9.960000038146973,0,0,2,0.07142857142857142,14,1,0.7038398692810458,0.07786135240034624,1.0,430.75,0,0,0,-7.865409851074219,-11.105400085449219,Body
Board,9.960000038146973,0,0,2,0.2,5,1,0.8064506381165748,0.07786135240034624,1.0,493.54779052734375,0,0,0,-11.105400085449219,47.59461212158203,Body
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,9.960000038146973,0,0,2,0.11956521739130435,92,10,0.11592156902637357,0.1519775294294261,1.0,70.94400024414062,0,0,0,47.59461212158203,587.2117462158203,Body
Version 2014,9.960000038146973,0,0,2,0.08333333333333333,12,2,0.12513294095307395,0.9074284717290089,1.0,76.58135986328125,0,0,0,587.2117462158203,-11.39422607421875,Body
Page 2 of 12,9.960000038146973,0,0,2,0.08333333333333333,12,4,0.4414443471073325,0.9074284717290089,1.0,270.1639404296875,0,0,0,-11.39422607421875,-11.39422607421875,Body
"May 31, 2014",9.960000038146973,0,0,2,0.08333333333333333,12,3,0.770547505297692,0.9074284717290089,1.0,471.5750732421875,0,0,0,-11.39422607421875,6.81243896484375,Body
© International Software Testing Qualifications Board,6.0,0,0,2,0.09433962264150944,53,6,0.1251372543035769,0.9304166851621686,0.6024096362469775,76.58399963378906,0,0,0,6.81243896484375,0.0,Body
International,9.960000038146973,0,0,3,0.07692307692307693,13,1,0.7318790909511591,0.04877047105268999,1.0,447.9100036621094,0,0,0,0.0,-8.151611328125,Body
Overview,12.0,0,0,3,0.125,8,1,0.1216078490213631,0.05250000231193774,1.204819272493955,74.42400360107422,0,0,0,-8.151611328125,-4.813831329345703,Body
Software Testing,9.960000038146973,0,0,3,0.125,16,2,0.7156045951095282,0.0633158731942225,1.0,437.95001220703125,0,0,0,-4.813831329345703,-4.299449920654297,Body
Foundation Level Extension –,9.960000038146973,0,0,3,0.10714285714285714,28,4,0.1216078490213631,0.07377045563977173,1.0,74.42400360107422,0,0,0,-11.81256103515625,-11.105400085449219,Body
Agile Tester,9.960000038146973,0,0,3,0.16666666666666666,12,2,0.3416503208135468,0.07377045563977173,1.0,209.08999633789062,0,0,0,-11.105400085449219,-7.865409851074219,Body
Qualifications Board,9.960000038146973,0,0,3,0.1,20,2,0.7038398692810458,0.07786135240034624,1.0,430.75,0,0,0,-7.865409851074219,36.16461181640625,Body
Revision History,15.960000038146973,1,0,3,0.125,16,2,0.11592156902637357,0.13754571086228495,1.6024096362469775,70.94400024414062,0,0,0,36.16461181640625,12.714622497558594,Body
Version,9.960000038146973,1,0,3,0.14285714285714285,7,1,0.1216078490213631,0.17606846973149462,1.0,74.42400360107422,0,0,0,12.714622497558594,-11.105392456054688,Body
Date,9.960000038146973,1,0,3,0.25,4,1,0.23924836302115246,0.17606846973149462,1.0,146.4199981689453,0,0,0,-11.105392456054688,-11.105392456054688,Body
Remarks,9.960000038146973,1,0,3,0.14285714285714285,7,1,0.45537582098268997,0.17606846973149462,1.0,278.69000244140625,0,0,0,-11.105392456054688,1.2545928955078125,Body
0.1,9.960000038146973,0,0,3,0.0,3,1,0.1216078490213631,0.19167451184205334,1.0,74.42400360107422,1,0,0,1.2545928955078125,-11.105392456054688,Body
18 JUNE 2013,9.960000038146973,0,0,3,0.3333333333333333,12,3,0.23924836302115246,0.19167451184205334,1.0,146.4199981689453,1,0,1,-11.105392456054688,-11.105392456054688,Body
Initial version,9.960000038146973,0,0,3,0.06666666666666667,15,2,0.45537582098268997,0.19167451184205334,1.0,278.69000244140625,0,0,0,-11.105392456054688,1.1345977783203125,Body
0.2,9.960000038146973,0,0,3,0.0,3,1,0.1216078490213631,0.2071290449662642,1.0,74.42400360107422,1,0,0,1.1345977783203125,-11.105392456054688,Body
23 JULY 2013,9.960000038146973,0,0,3,0.3333333333333333,12,3,0.23924836302115246,0.2071290449662642,1.0,146.4199981689453,1,0,1,-11.105392456054688,-11.105392456054688,Body
WG reviewed and confirmed,9.960000038146973,0,0,3,0.08,25,4,0.45537582098268997,0.2071290449662642,1.0,278.69000244140625,0,0,0,-11.105392456054688,1.1345977783203125,Body
0.3,9.960000038146973,0,0,3,0.0,3,1,0.1216078490213631,0.22258357809047508,1.0,74.42400360107422,1,0,0,1.1345977783203125,-11.105392456054688,Body
6 NOV 2013,9.960000038146973,0,0,3,0.3,10,3,0.23924836302115246,0.22258357809047508,1.0,146.4199981689453,1,0,1,-11.105392456054688,-11.105392456054688,Body
amended population and diagram,9.960000038146973,0,0,3,0.0,30,4,0.45537582098268997,0.22258357809047508,1.0,278.69000244140625,0,0,0,-11.105392456054688,1.1345977783203125,Body
0.7,9.960000038146973,0,0,3,0.0,3,1,0.1216078490213631,0.23803811121468593,1.0,74.42400360107422,1,0,0,1.1345977783203125,-11.105392456054688,Body
11 DEC 2013,9.960000038146973,0,0,3,0.2727272727272727,11,3,0.23924836302115246,0.23803811121468593,1.0,146.4199981689453,1,0,1,-11.105392456054688,-11.105392456054688,Body
Amended Business Outcomes and Chapters matching,9.960000038146973,0,0,3,0.0851063829787234,47,6,0.45537582098268997,0.23803811121468593,1.0,278.69000244140625,0,0,0,-11.105392456054688,1.1346588134765625,Body
0.8,9.960000038146973,0,0,3,0.0,3,1,0.1216078490213631,0.253492721403488,1.0,74.42400360107422,1,0,0,1.1346588134765625,-11.105392456054688,Body
20 DEC 2013,9.960000038146973,0,0,3,0.2727272727272727,11,3,0.23924836302115246,0.253492721403488,1.0,146.4199981689453,1,0,1,-11.105392456054688,-11.105392456054688,Body
Working group updates on 0.7,9.960000038146973,0,0,3,0.03571428571428571,28,5,0.45537582098268997,0.253492721403488,1.0,278.69000244140625,0,0,0,-11.105392456054688,1.1345977783203125,Body
1.0,9.960000038146973,0,0,3,0.0,3,1,0.1216078490213631,0.26894725452769885,1.0,74.42400360107422,1,0,0,1.1345977783203125,-11.105392456054688,Body
31 MAY 2014,9.960000038146973,0,0,3,0.2727272727272727,11,3,0.23924836302115246,0.26894725452769885,1.0,146.4199981689453,1,0,1,-11.105392456054688,-11.105392456054688,Body
GA release for Agile Extension,9.960000038146973,0,0,3,0.13333333333333333,30,5,0.45537582098268997,0.26894725452769885,1.0,278.69000244140625,0,0,0,-11.105392456054688,494.57594299316406,Body
Version 2014,9.960000038146973,0,0,3,0.08333333333333333,12,2,0.1251372543035769,0.9074337891858033,1.0,76.58399963378906,0,0,0,494.57594299316406,-11.39422607421875,Body
Page 3 of 12,9.960000038146973,0,0,3,0.08333333333333333,12,4,0.4414486355251736,0.9074337891858033,1.0,270.16656494140625,0,0,0,-11.39422607421875,-11.39422607421875,Body
"May 31, 2014",9.960000038146973,0,0,3,0.08333333333333333,12,3,0.7705517937155331,0.9074337891858033,1.0,471.57769775390625,0,0,0,-11.39422607421875,6.8082275390625,Body
© International Software Testing Qualifications Board,6.0,0,0,3,0.09433962264150944,53,6,0.1251372543035769,0.9304166851621686,0.6024096362469775,76.58399963378906,0,0,0,6.8082275390625,0.0,Body
International,9.960000038146973,0,0,4,0.07692307692307693,13,1,0.7318790909511591,0.04877047105268999,1.0,447.9100036621094,0,0,0,0.0,-8.151611328125,Body
Overview,12.0,0,0,4,0.125,8,1,0.1216078490213631,0.05250000231193774,1.204819272493955,74.42400360107422,0,0,0,-8.151611328125,-4.813831329345703,Body
Software Testing,9.960000038146973,0,0,4,0.125,16,2,0.7156045951095282,0.0633158731942225,1.0,437.95001220703125,0,0,0,-4.813831329345703,-4.299449920654297,Body
Foundation Level Extension –,9.960000038146973,0,0,4,0.10714285714285714,28,4,0.1216078490213631,0.07377045563977173,1.0,74.42400360107422,0,0,0,-11.81256103515625,-11.105400085449219,Body
Agile Tester,9.960000038146973,0,0,4,0.16666666666666666,12,2,0.3416503208135468,0.07377045563977173,1.0,209.08999633789062,0,0,0,-11.105400085449219,-7.865409851074219,Body
Qualifications,9.960000038146973,0,0,4,0.07142857142857142,14,1,0.7038398692810458,0.07786135240034624,1.0,430.75,0,0,0,-7.865409851074219,-11.105400085449219,Body
Board,9.960000038146973,0,0,4,0.2,5,1,0.8064506381165748,0.07786135240034624,1.0,493.54779052734375,0,0,0,-11.105400085449219,36.16461181640625,Body
Table of Contents,15.960000038146973,1,0,4,0.11764705882352941,17,3,0.11592156902637357,0.13754571086228495,1.6024096362469775,70.94400024414062,0,0,0,36.16461181640625,17.994590759277344,Body
..........................................................................................................................................,9.960000038146973,1,0,4,0.0,138,1,0.24807058596143536,0.18273509632457385,1.0,151.81919860839844,0,0,0,17.994590759277344,-11.105392456054688,Body
Revision History,9.960000038146973,1,0,4,0.125,16,2,0.11592156902637357,0.18273509632457385,1.0,70.94400024414062,0,0,0,-11.105392456054688,-11.105392456054688,Body
3,9.960000038146973,1,0,4,0.0,1,1,0.8744764141007966,0.18273509632457385,1.0,535.1795654296875,1,0,0,-11.105392456054688,6.2947540283203125,Body
........................................................................................................................................,9.960000038146973,1,0,4,0.0,136,1,0.25708666034773286,0.20470497824928977,1.0,157.3370361328125,0,0,0,6.2947540283203125,-11.105392456054688,Body
Table of Contents,9.960000038146973,1,0,4,0.11764705882352941,17,3,0.11592151916104984,0.20470497824928977,1.0,70.9439697265625,0,0,0,-11.105392456054688,-11.105392456054688,Body
4,9.960000038146973,1,0,4,0.0,1,1,0.8744764141007966,0.20470497824928977,1.0,535.1795654296875,1,0,0,-11.105392456054688,6.4142608642578125,Body
............................................................................,9.960000038146973,1,0,4,0.0,76,1,0.5277318019492954,0.22682575264362373,1.0,322.97186279296875,0,0,0,6.4142608642578125,-11.105392456054688,Body
1.,9.960000038146973,1,0,4,0.0,2,1,0.11592151916104984,0.22682575264362373,1.0,70.9439697265625,1,0,0,-11.105392456054688,-11.105392456054688,Body
Introduction to the Foundation Level Extensions,9.960000038146973,1,0,4,0.0851063829787234,47,6,0.14866583331737643,0.22682575264362373,1.0,90.98348999023438,0,0,0,-11.105392456054688,-11.105392456054688,Body
6,9.960000038146973,1,0,4,0.0,1,1,0.8744764141007966,0.22682575264362373,1.0,535.1795654296875,1,0,0,-11.105392456054688,6.4142608642578125,Body
...............................................................,9.960000038146973,1,0,4,0.0,63,1,0.586385141011157,0.2489465270379577,1.0,358.8677062988281,0,0,0,6.4142608642578125,-11.105392456054688,Body
2.,9.960000038146973,1,0,4,0.0,2,1,0.11592151916104984,0.2489465270379577,1.0,70.9439697265625,1,0,0,-11.105392456054688,-11.105392456054688,Body
Introduction to Foundation Level Agile Tester Extension,9.960000038146973,1,0,4,0.10909090909090909,55,7,0.14866583331737643,0.2489465270379577,1.0,90.98348999023438,0,0,0,-11.105392456054688,-11.105392456054688,Body
7,9.960000038146973,1,0,4,0.0,1,1,0.8744764141007966,0.2489465270379577,1.0,535.1795654296875,1,0,0,-11.105392456054688,6.5337677001953125,Body
.....................................................................................................................,9.960000038146973,0,0,4,0.0,117,1,0.32003652036579605,0.2712181939019097,1.0,195.8623504638672,0,0,0,6.5337677001953125,-11.105392456054688,Body
2.1,9.960000038146973,0,0,4,0.0,3,1,0.13219601500268077,0.2712181939019097,1.0,80.90396118164062,1,0,0,-11.105392456054688,-11.105392456054688,Body
Intended Audience,9.960000038146973,0,0,4,0.11764705882352941,17,2,0.18121484993330014,0.2712181939019097,1.0,110.90348815917969,0,0,0,-11.105392456054688,-11.105392456054688,Body
7,9.960000038146973,0,0,4,0.0,1,1,0.8744764141007966,0.2712181939019097,1.0,535.1795654296875,1,0,0,-11.105392456054688,0.4183502197265625,Body
............................................................................................................,9.960000038146973,0,0,4,0.0,108,1,0.36244790070976307,0.2857683740480982,1.0,221.818115234375,0,0,0,0.4183502197265625,-11.105392456054688,Body
2.2,9.960000038146973,0,0,4,0.0,3,1,0.13219601500268077,0.2857683740480982,1.0,80.90396118164062,1,0,0,-11.105392456054688,-11.105392456054688,Body
Career Paths for Testers,9.960000038146973,0,0,4,0.125,24,4,0.18121484993330014,0.2857683740480982,1.0,110.90348815917969,0,0,0,-11.105392456054688,-11.105392456054688,Body
7,9.960000038146973,0,0,4,0.0,1,1,0.8744926701963337,0.2857683740480982,1.0,535.1895141601562,1,0,0,-11.105392456054688,0.3286895751953125,Body
...................................................................................................................,9.960000038146973,0,0,4,0.0,115,1,0.32945947086109834,0.30020534630977747,1.0,201.6291961669922,0,0,0,0.3286895751953125,-11.105392456054688,Body
2.3,9.960000038146973,0,0,4,0.0,3,1,0.13221227109821793,0.30020534630977747,1.0,80.91390991210938,1,0,0,-11.105392456054688,-11.105392456054688,Body
Learning Objectives,9.960000038146973,0,0,4,0.10526315789473684,19,2,0.18123110602883732,0.30020534630977747,1.0,110.91343688964844,0,0,0,-11.105392456054688,-11.105392456054688,Body
7,9.960000038146973,0,0,4,0.0,1,1,0.8744926701963337,0.30020534630977747,1.0,535.1895141601562,1,0,0,-11.105392456054688,0.4183502197265625,Body
...................................................................................................................,9.960000038146973,0,0,4,0.0,115,1,0.32945947086109834,0.3147555264559659,1.0,201.6291961669922,0,0,0,0.4183502197265625,-11.10540771484375,Body
2.4,9.960000038146973,0,0,4,0.0,3,1,0.13221227109821793,0.3147555264559659,1.0,80.91390991210938,1,0,0,-11.10540771484375,-11.10540771484375,Body
Entry Requirements,9.960000038146973,0,0,4,0.1111111111111111,18,2,0.18123110602883732,0.3147555264559659,1.0,110.91343688964844,0,0,0,-11.10540771484375,-11.10540771484375,Body
8,9.960000038146973,0,0,4,0.0,1,1,0.8744926701963337,0.3147555264559659,1.0,535.1895141601562,1,0,0,-11.10540771484375,0.4183349609375,Body
...................................................................................................,9.960000038146973,0,0,4,0.0,99,1,0.40481043796913296,0.32930570660215436,1.0,247.74398803710938,0,0,0,0.4183349609375,-11.10540771484375,Body
2.5,9.960000038146973,0,0,4,0.0,3,1,0.13221227109821793,0.32930570660215436,1.0,80.91390991210938,1,0,0,-11.10540771484375,-11.10540771484375,Body
Structure and Course Duration,9.960000038146973,0,0,4,0.10344827586206896,29,4,0.18123110602883732,0.32930570660215436,1.0,110.91343688964844,0,0,0,-11.10540771484375,-11.10540771484375,Body
8,9.960000038146973,0,0,4,0.0,1,1,0.8744926701963337,0.32930570660215436,1.0,535.1895141601562,1,0,0,-11.10540771484375,0.418304443359375,Body
......................................................................................................................,9.960000038146973,0,0,4,0.0,118,1,0.31534945419411253,0.3438558482160472,1.0,192.99386596679688,0,0,0,0.418304443359375,-11.10540771484375,Body
2.6,9.960000038146973,0,0,4,0.0,3,1,0.13221227109821793,0.3438558482160472,1.0,80.91390991210938,1,0,0,-11.10540771484375,-11.10540771484375,Body
Keeping It Current,9.960000038146973,0,0,4,0.16666666666666666,18,3,0.18123110602883732,0.3438558482160472,1.0,110.91343688964844,0,0,0,-11.10540771484375,-11.10540771484375,Body
9,9.960000038146973,0,0,4,0.0,1,1,0.8744926701963337,0.3438558482160472,1.0,535.1895141601562,1,0,0,-11.10540771484375,4.82061767578125,Body
.........................................,9.960000038146973,1,0,4,0.0,41,1,0.6765947528913909,0.3658256916084675,1.0,414.07598876953125,0,0,0,-11.81256103515625,-11.10540771484375,Body
3.,9.960000038146973,1,0,4,0.0,2,1,0.11593777525658701,0.3658256916084675,1.0,70.95391845703125,1,0,0,-11.10540771484375,-11.10540771484375,Body
Overview of the Foundation Level Extension –,9.960000038146973,1,0,4,0.09090909090909091,44,7,0.1486820894129136,0.3658256916084675,1.0,90.99343872070312,0,0,0,-11.10540771484375,-11.10540771484375,Body
Agile Tester Syllabus,9.960000038146973,1,0,4,0.14285714285714285,21,3,0.5112618839039522,0.3658256916084675,1.0,312.89227294921875,0,0,0,-11.10540771484375,-11.10540771484375,Body
10,9.960000038146973,1,0,4,0.0,2,1,0.8652650920394199,0.3658256916084675,1.0,529.542236328125,1,0,0,-11.10540771484375,6.53375244140625,Body
.................................................................................................................,9.960000038146973,0,0,4,0.0,113,1,0.32944318983289933,0.3880973584724195,1.0,201.61923217773438,0,0,0,6.53375244140625,-11.10540771484375,Body
